Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-1214660,Ba4Nd(IrO4)3,C2/m,-2.381,0,0,312.595,20,7.767,monoclinic
mp-1206536,Ba2InSbO6,Fm3m,-2.546,0,0.524,147.913,10,6.817,cubic
mp-1078995,Sr2MgTeO6,C2/m,-2.729,0,2.341,129.158,10,5.44,monoclinic
mp-1205507,Eu2MgWO6,Fm3m,-2.933,0,0.277,128.33,10,7.868,cubic
mp-1207052,Sr2CrWO6,Fm3m,-2.768,0,0,255.779,20,6.584,cubic
mp-6798,Ba2NaReO6,Fm3m,-2.701,0,1.917,149.306,10,6.449,cubic
mp-1105549,BaHfS3,Pnma,-2.234,0,1.749,497.723,20,5.498,orthorhombic
mp-1078539,Sr2MgMoO6,I4/m,-2.907,0,2.365,127.845,10,5.085,tetragonal
mp-1207104,Cs2KHoCl6,Fm3m,-2.511,0,5.261,361.762,10,3.133,cubic
mp-2955,NaMgF3,Pnma,-3.52,0,6.754,234.873,20,2.949,orthorhombic
mp-3448,KMgF3,Pm3m,-3.566,0,6.954,66.6,5,3.002,cubic
mp-1205803,Ba2ErTaO6,Fm3m,-3.611,0,3.393,153.532,10,7.775,cubic
mp-1213003,Eu2CoPtO6,P21/c,-2.245,0,0,246.057,20,8.826,monoclinic
mp-1214640,Ba3CeIr2O9,P63/mmc,-2.592,0,0,458.45,30,7.827,hexagonal
mp-1205713,Ba2YUO6,Fm3m,-3.656,0,0.879,171.726,10,6.745,cubic
mp-1209523,Rb3Sc2Br9,P63/mmc,-1.786,0,2.929,1005.413,28,3.519,hexagonal
mp-1079705,Ba2LuTaO6,Fm3m,-3.636,0,3.409,150.501,10,8.016,cubic
mp-1206133,Ba2MgOsO6,Fm3m,-2.612,0,0,136.578,10,7.115,cubic
mp-1214562,Ba3PrIr2O9,P63/mmc,-2.477,0,0,473.046,30,7.592,hexagonal
mp-1205947,Eu2TaAlO6,Fm3m,-3.452,0,0.373,120.624,10,8.368,cubic
mp-550685,Ba2CaTeO6,Fm3m,-2.797,0,3.012,154,10,5.805,cubic
mp-12385,Ba2YTaO6,I4/m,-3.582,0,3.466,155.508,10,6.839,tetragonal
mp-1205977,Ba2ErReO6,Fm3m,-3.069,0,0,150.212,10,8.005,cubic
mp-1209751,Pr2MnNiO6,P21/c,-2.72,0,1.791,238.096,20,6.855,monoclinic
